Alloy,No,Component,Fraction,a,delta,Tm,Hmix,D_Hmix,Sid,Elec_nega,D_elec_nega,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
BeCuNiTiVZr,6,Be Cu Ni Ti V Zr,1 1 1 1 1 1,1.338833333,0.115004837,1816.295,-24.88888889,12.67502973,1.791759469,1.646666667,0.204667752,6,3.31662479,1.32E+11,35.07405085,AM+IM
B6Co20In3,3,B Co In,6 20 3,1.193793103,0.177770874,1749.560345,-10.15933413,8.081578298,0.81691517,1.902758621,0.076243555,7.137931034,2.775808524,1.94E+11,78.04050698,IM
Fe89Zr5B6,3,Fe Zr B,89 5 6,1.23384,0.106093361,1859.07,-10.8556,5.657060995,0.422306353,1.8176,0.122442803,7.5,1.431782106,1.74E+11,42.72430596,SS
Cu0.5NiCoCrAl0.5Fe3,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 3,1.260571429,0.038435999,1750.66,-2.836734694,4.603583014,1.574097337,1.813571429,0.094537003,8,1.927248223,1.63E+11,26.13622086,SS
Cu0.5NiCoCrAl0.5Fe2,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 2,1.263833333,0.040841549,1740.603333,-3.527777778,4.97516175,1.676234939,1.810833333,0.101854335,8,2.081665999,1.61E+11,28.03965446,SS
CoCrCuFeNiZr ,6,Co Cr Cu Fe Ni Zr,1 1 1 1 1 1,1.311333333,0.099876652,1828.795,-14.44444444,12.00702812,1.791759469,1.751666667,0.206512039,8,2.380476143,1.50E+11,38.00711637,AM+IM
AlNi2Ti,3,Al Ni Ti,1 2 1,1.3465,0.075052471,1582.6175,-36,5.184110338,1.039720771,1.7425,0.169318487,6.75,3.269174208,1.37E+11,45.13036672,IM
NiCoFeCrMo0.3,5,Ni Co Fe Cr Mo,1 1 1 1 0.3,1.254860465,0.02377732,1943.209302,-4.153596539,1.788112226,1.542613125,1.84372093,0.127279646,8.093023256,1.537348268,1.77E+11,16.68918616,SS
FeCoNiMnMo,5,Fe Co Ni Mn Mo,1 1 1 1 1,1.2902,0.042149755,1944.4,-4,2.505992817,1.609437912,1.866,0.194792197,8,1.414213562,1.76E+11,34.98571137,IM+SS
Pd75Si25,2,Pd Si,75 25,1.3195,0.072852459,1792.7875,-41.25,5.953924651,0.562335145,2.125,0.129903811,8.5,2.598076211,1.60E+11,34.64101615,AM
Cu2In3Sn1,3,Cu In Sn,2 3 1,1.476,0.095938404,751.645,8.222222222,2.498696505,1.011404265,1.85,0.072801099,5.833333333,3.670452591,72998333333,48.17351742,IM
CoCrMnNi,4,Co Cr Mn Ni,1 1 1 1,1.274,0.034469929,1798.75,-5.5,2.468552207,1.386294361,1.75,0.150499169,8,1.58113883,1.60E+11,24.49489743,SS
Ce57Al10Ni12.5Cu15.5Nb5,5,Ce Al Ni Cu Nb,57 10 12.5 15.5 5,1.60874,0.158234464,1267.77135,-22.0584,11.49066679,1.249354274,1.41265,0.349571849,5.215,3.367309757,72840000000,63.88125234,AM
B2CoW2,3,B Co W,2 1 2,1.125,0.224540442,2770.8,-27.84,7.772270711,1.054920168,2.136,0.192,5.4,2.244994432,2.88E+11,54.18486874,IM
CdMg3,2,Cd Mg,1 3,1.59275,0.008971539,840.805,-4.5,0.649519053,0.562335145,1.405,0.164544827,4.5,4.330127019,44250000000,1.299038106,IM
HfB2,2,Hf B,1 2,1.072666667,0.333118049,2400.666667,-58.66666667,3.456966486,0.636514168,1.793333333,0.348839345,3.333333333,0.471404521,2.50E+11,98.99494937,IM
ZrHfTiAlCuNi,6,Zr Hf Ti Al Cu Ni,1 1 1 1 1 1,1.433166667,0.094373785,1765.706667,-34.11111111,14.58337742,1.791759469,1.598333333,0.242447016,6,3.214550254,1.14E+11,37.34975044,IM+SS
Zr58.5Nb2.8Cu15.6Ni12.8Al10.3,5,Zr Nb Cu Ni Al,58.5 2.8 15.6 12.8 10.3,1.484119,0.101110103,1851.02353,-34.905488,10.75480229,1.200846125,1.52956,0.253052972,5.785,3.032618506,98905500000,41.97363839,AM
MgZn2,2,Mg Zn,1 2,1.463666667,0.066346617,769.4533333,-3.555555556,0.20951312,0.636514168,1.536666667,0.160277537,8.666666667,4.714045208,61666666667,11.78511302,IM
AlNi,2,Al Ni,1 1,1.339,0.069454817,1330.735,-22,0,0.693147181,1.76,0.15,6.5,3.5,1.28E+11,52,IM
Ni57.5Zr32Nb3Al7.5,4,Ni Zr Nb Al,57.5 32 3 7.5,1.37968,0.118018115,1827.07025,-46.1614,7.564065035,0.982282257,1.6926,0.264609599,7.405,3.034958814,1.37E+11,52.6866945,AM
Cu60Zr20Hf10Ti10,4,Cu Zr Hf Ti,60 20 10 10,1.3914,0.103280651,1684.962,-17.28,4.79315512,1.088899975,1.69,0.264272587,8.2,3.42928564,1.20E+11,27.26617766,AM
Gd50Al24Co20Y6,4,Gd Al Co Y,50 24 20 6,1.6025,0.144709828,1478.5728,-34.4128,8.17905342,1.179773741,1.4356,0.278101852,4.2,2.4,75700000000,54.39310618,AM
Sb3Y4,2,Sb Y,3 4,1.599714286,0.146013213,1415.334286,-66.6122449,0.68676067,0.682908105,1.575714286,0.410743477,3.857142857,0.989743319,41428571429,0.494871659,IM
CrCuFeMnNi,5,Cr Cu Fe Mn Ni,1 1 1 1 1,1.2728,0.03197742,1719.154,2.72,4.235582605,1.609437912,1.77,0.141844986,8.4,1.854723699,1.54E+11,21.54065923,SS
SmFe6Ti6N,4,Sm Fe Ti N,1 6 6 1,1.341285714,0.168733208,1708.585714,-48.81632653,33.98722387,1.103263499,1.745,0.405599204,5.714285714,2.015247997,1.23E+11,51.1446528,IM
AlTiVYZr,5,Al Ti V Y Zr,1 1 1 1 1,1.523,0.109513125,1796.894,-14.88,13.56092032,1.609437912,1.466,0.162554606,3.8,0.748331477,91566666667,40.62533419,AM+IM
AuCdSn,3,Au Cd Sn,1 1 1,1.543333333,0.048422536,812.21,-9.333333333,3.168128318,1.098612289,2.063333333,0.354620298,9,3.559026084,1.07E+11,80.40453276,IM
