Alloy,No,Component,Fraction,delta,omega,Phase_inshort
Al0.5CoCrCuFeNiTi0.2,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.2,0.0493137,761.9534452,SS
Cu54Zr27Ti9Be10,4,Cu Zr Ti Be,54 27 9 10,0.117564223,88.8938055,AM
Zr66Al9Cu16Ni9,4,Zr Al Cu Ni,66 9 16 9,0.096609903,57.58221445,AM
GdHoLaTbY,5,Gd Ho La Tb Y,1 1 1 1 1,0.021582588,0,SS
La55Al25Cu20,3,La Al Cu,55 25 20,0.158779617,38.16425653,AM
AlMnNbTiV,5,Al Mn Nb Ti V,1 1 1 1 1,0.039497885,193.4326598,IM
CoCr2FeNiAl0.3,5,Co Cr Fe Ni Al,1 2 1 1 0.3,0.034061991,399.8129026,IM+SS
Mo3Si,2,Mo Si,3 1,0.069387766,55.5640679,IM
AlNd,2,Al Nd,1 1,0.067708333,20.31532304,IM
Al0.5CoCrCuFeNiTi1.4 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.4,0.069377252,237.8935821,IM+SS
Gd50Al24Co20Y6,4,Gd Al Co Y,50 24 20 6,0.144709828,50.68989921,AM
Al0.5CoCrCuFeNiV1.0 ,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 1.0,0.040357597,647.9011195,IM+SS
B6Co20In3,3,B Co In,6 20 3,0.177770874,140.6826834,IM
HfNbTiZr,4,Hf Nb Ti Zr,1 1 1 1,0.048723866,1292.719492,SS
Cu54Ni6Zr22Ti18,4,Cu Ni Zr Ti,54 6 22 18,0.099427646,105.0285221,AM
Ni50Nb20Hf2.5Ti17.5,4,Ni Nb Hf Ti,50 20 2.5 17.5,0.078862519,67.85034904,AM
Fe3W2,2,Fe W,3 2,0.047798623,0,IM
Y36Sc20Al24Co20,4,Y Sc Al Co,36 20 24 20,0.13550695,61.57153967,AM
FeCoNiCrCuAl0.5,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 0.5,0.041692079,1968.105626,SS
MgZn2,2,Mg Zn,1 2,0.066346617,137.7472354,IM
Ni45Ti20Zr27Al8,4,Ni Ti Zr Al,45 20 27 8,0.107461264,49.55076903,AM
Al3Yb,2,Al Yb,3 1,0.077416547,36.48064903,IM
Cu4MgSn,3,Cu Mg Sn,4 1 1,0.112927833,1275.161783,IM
Co0.5CrFeMn1.5Ni ,5,Co Cr Fe Mn Ni,0.5 1 1 1.5 1,0.037337176,684.6287119,IM+SS
Ni50Nb20Hf10Ti20,4,Ni Nb Hf Ti,50 20 10 20,0.087938922,74.21986355,AM
Al3Ca8,2,Al Ca,3 8,0.132562915,39.34565319,IM
FeCoNiMnMo,5,Fe Co Ni Mn Mo,1 1 1 1 1,0.042149755,782.347769,IM+SS
Al2CrCuFeNi2,5,Al Cr Cu Fe Ni,2 1 1 1 2,0.062974937,245.2861415,IM
MgNi4Y,3,Mg Ni Y,1 4 1,0.15912221,85.87093296,IM
AlCrTaTiZr,5,Al Cr Ta Ti Zr,1 1 1 1 1,0.07857283,168.5479025,AM
Al5Co2,2,Al Co,5 2,0.059239521,45.20355768,IM
Ca2Mg6Zn3,3,Ca Mg Zn,2 6 3,0.119248417,97.60564925,IM
Cu0.76Si0.24,2,Cu Si,0.76 0.24,0.042776756,57.11734509,IM
Gd36Al24Co20Nd20,4,Gd Al Co Nd,36 24 20 20,0.135264301,69.15201822,AM
La66Al14Cu20,3,La Al Cu,66 14 20,0.152377934,41.06252195,AM
