Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,D_Hmix,Sid,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
Al2Mn,2,Al Mn,2 1,1.404666667,0.027519106,1128.646667,276.0214891,-16.88888889,0.995187322,0.636514168,4.333333333,1.885618083,90666666667,20.74179891,IM
Ce60Al15Ni15Cu10,4,Ce Al Ni Cu,60 15 15 10,1.6245,0.154721258,1177.5975,253.8605945,-30.6,6.620445604,1.105889879,4.85,3.213642793,65600000000,60.60891024,AM
Mo5Si3,2,Mo Si,5 3,1.28425,0.079163568,2442.625,585.3046082,-32.8125,1.059018884,0.661563238,5.25,0.968245837,1.81E+11,62.93597938,IM
Al5CuTi2,3,Al Cu Ti,5 1 2,1.42025,0.038894433,1238.39,428.1434106,-20.1875,6.907845015,0.900256051,4.25,2.586020108,92500000000,22.99456458,IM
Ni60Nb20Hf5Ti15,4,Ni Nb Hf Ti,60 20 5 15,1.3316,0.081853106,2003.25,412.5576172,-31.64,7.662797139,1.062737568,7.8,2.712931993,1.64E+11,27.27636339,AM
Ag4Sn,2,Ag Sn,4 1,1.48,0.047297297,1088.96,291.94,-1.92,0.432,0.500402424,9.6,2.8,91600000000,16.8,IM
Cu51Hf14,2,Cu Hf,51 14,1.342615385,0.091855546,1605.081077,472.0246064,-11.49159763,2.264443064,0.521004041,9.492307692,2.877622293,1.34E+11,12.33266697,IM
Al0.5CrFeNiCoCuTi0.6,7,Al Cr Fe Ni Co Cu Ti,0.5 1 1 1 1 1 0.6,1.288229508,0.059215207,1717.394262,336.8215647,-8.395592583,8.194404329,1.915349257,7.852459016,2.559687901,1.53E+11,31.46379567,SS
AlCoCrCuNi,5,Al Co Cr Cu Ni,1 1 1 1 1,1.2912,0.055242051,1593.448,420.4119338,-6.56,6.631488521,1.609437912,7.8,2.925747768,1.47E+11,38.56630654,SS
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,6,Al Nb Ta Ti V Zr,0.3 1 0.8 1.4 0.2 1.3,1.4793,0.053047552,2316.4882,594.4867313,-4.864,7.240567591,1.61932983,4.34,0.58685603,1.26E+11,48.19255832,SS
ZrHfTiCuFe,5,Zr Hf Ti Cu Fe,1 1 1 1 1,1.4324,0.104324491,1948.754,377.081055,-15.84,8.475225071,1.609437912,6.2,2.856571371,1.20E+11,33.21813427,AM
Ni60Nb20Hf15Ti5,4,Ni Nb Hf Ti,60 20 15 5,1.3432,0.094513272,2059.75,438.0636797,-33.16,8.38856722,1.062737568,7.8,2.712931993,1.64E+11,27.27636339,AM
Au46Ag5Cu29Si20,4,Au Ag Cu Si,46 5 29 20,1.33679,0.086708413,1408.0716,141.7564671,-21.4864,6.431312728,1.187861003,9.6,2.8,1.67E+11,51.24217013,AM
La55Al25Cu20,3,La Al Cu,55 25 20,1.64705,0.158779617,1161.0715,145.7715908,-30.34,7.791379275,0.997271523,4.6,3.2,62400000000,43.60550424,AM
Gd56Al24Co20,3,Gd Al Co,56 24 20,1.60244,0.144683106,1465.7928,307.190373,-34.4704,5.626965195,0.989093865,4.2,2.4,75520000000,54.51247197,AM
Al9Mn4Si3,3,Al Mn Si,9 4 3,1.3591875,0.077075001,1221.139375,330.7893209,-27.140625,5.591037455,0.984086503,4.1875,1.666536453,91500000000,18.75499933,IM
Al0.5CoCrFeNi,5,Al Co Cr Fe Ni,0.5 1 1 1 1,1.267333333,0.046023145,1767.496667,340.3958547,-9.086419753,4.600341233,1.58109375,7.666666667,2.160246899,1.62E+11,31.31835734,SS
CoCrCuFeNi,5,Co Cr Cu Fe Ni,1 1 1 1 1,1.253,0.010332037,1768.954,261.3339252,3.2,4.051666324,1.609437912,8.8,1.720465053,1.66E+11,14.96662955,SS
Al2Cu,2,Al Cu,2 1,1.380666667,0.05258061,1074.903333,200.0169382,-0.888888889,0.05237828,0.636514168,5.666666667,3.771236166,97333333333,30.16988933,IM
Ni57.5Zr26Nb9Al7.5,4,Ni Zr Nb Al,57.5 26 9 7.5,1.36924,0.112094334,1864.39025,405.3974639,-42.8506,9.407681795,1.079420803,7.465,2.976369433,1.43E+11,50.43352335,AM
CoCrFeNiAlNb0.1,6,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.1,1.286647059,0.059188612,1704.994118,430.6447607,-13.31795463,5.908742672,1.674389267,7.156862745,2.4763394,1.54E+11,38.98836073,SS
B6Co21V2,3,B Co V,6 21 2,1.166310345,0.152300645,1916.62069,243.6995626,-19.57669441,3.414507961,0.744129541,7.482758621,2.499940546,2.08E+11,57.63471011,IM
La55Al25Ni15Cu5,4,La Al Ni Cu,55 25 15 5,1.64225,0.163464401,1216.606,246.1156631,-35.35,6.73988965,1.109738552,4.45,2.906458326,68400000000,55.10571658,AM
FeNiCrCoAl2.5,5,Fe Ni Cr Co Al,1 1 1 1 2.5 ,1.318,0.068416796,1510.873077,477.9042626,-16.09467456,5.773695577,1.519382665,6.230769231,2.805320389,1.35E+11,47.3961025,SS
MoNbTaVW,5,Mo Nb Ta V W,1 1 1 1 1,1.381,0.031480181,2962.8,510.100147,-4.64,2.219693673,1.609437912,5.4,0.489897949,2.14E+11,53.88877434,SS
Ni50Nb20Hf2.5Ti17.5,4,Ni Nb Hf Ti,50 20 2.5 17.5,1.337888889,0.078862519,2018.138889,416.6079394,-32.08641975,8.171608885,1.078753693,7.555555556,2.753224821,1.62E+11,28.19683898,AM
AlCoCrFeNi2.1,5,Al Co Cr Fe Ni,1 1 1 1 2.1,1.276983607,0.053807053,1692.011475,370.2392581,-11.94302607,5.505649683,1.552867718,7.704918033,2.491587566,1.58E+11,37.04758447,IM+SS
FeCoNiCrCuAl3,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 3.0,1.320125,0.066100026,1455.6475,454.1874533,-10.5625,6.680235723,1.667461933,6.625,3.119995994,1.32E+11,45.14905868,SS
CoCrCu0.5FeNi,5,Co Cr Cu Fe Ni,1 1 0.5 1 1,1.250222222,0.008353125,1814.641111,234.5435552,0.49382716,3.534533593,1.58109375,8.555555556,1.640535896,1.69E+11,12.862041,SS
Al2B6Co20,3,Al B Co,2 6 20,1.171571429,0.161583745,1832.676429,342.9991415,-18.57142857,3.130342164,0.758936773,7.285714286,2.710523709,2.03E+11,66.80645209,IM
Cu0.76Si0.24,2,Cu Si,0.76 0.24,1.248,0.042776756,1436.7852,140.6085789,-13.8624,2.194182289,0.551079928,9.32,2.989581911,1.30E+11,17.0833252,IM
CaZn13,2,Ca Zn,1 13,1.4365,0.104163159,722.8457143,108.7640296,-5.836734694,4.162677274,0.257318641,11.28571429,2.575393768,66214285714,13.64958697,IM
Al4Mn,2,Al Mn,4 1,1.4156,0.023170387,1050.576,234.212,-12.16,2.736,0.500402424,3.8,1.6,84800000000,17.6,IM
AlCoCuNi,4,Al Co Cu Ni,1 1 1 1,1.30175,0.058520188,1446.81,336.7777121,-8,6.937218463,1.386294361,8.25,3.112474899,1.44E+11,42.52058325,SS
Cr45Co34Nb7B14,4,Cr Co Nb B,45 34 7 14,1.20222,0.133726928,2103.34,280.2330537,-20.2084,8.090024941,1.187527751,6.53,2.027091512,1.90E+11,53.22583959,AM
Al0.5CoCrCuFeNiTi1.2 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.2,1.303791045,0.067564849,1737.418657,327.6671612,-12.89374025,9.281372585,1.921180321,7.507462687,2.678678301,1.49E+11,32.44804954,IM+SS
Cu0.5NiAlCoCrFeTi,7,Cu Ni Al Co Cr Fe Ti,0.5 1 1 1 1 1 1,1.310769231,0.069893208,1698.516154,382.7681796,-17.18343195,9.338829301,1.925121191,7,2.717464882,1.46E+11,37.81862664,AM
FeCoNiCrCuAl0.5,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 0.5,1.269272727,0.041692079,1693.000909,346.0859229,-1.520661157,5.643485011,1.767761472,8.272727273,2.339032787,1.58E+11,29.54755237,SS
Cd5Li4Mg,3,Cd Li Mg,5 4 1,1.5517,0.018269005,570.886,134.7762058,-11.6,2.709686329,0.943348392,6.6,5.407402334,29900000000,15.45606677,IM
MgCu,2,Mg Cu,50 50,1.4395,0.112191733,1140.385,217.385,-3,0,0.693147181,6.5,4.5,92500000000,47.5,AM
Cu51Zr14,2,Cu Zr,51 14,1.348,0.09911268,1523.665692,316.6330026,-15.54745562,3.063658263,0.521004041,9.492307692,2.877622293,1.25E+11,28.43364884,IM
